"序号
No.","词
Word","拼音
Pinyin","词类
Parts of Speech","词译文
Meaning of the Word","例句
Example","例句拼音
Sentence Pinyin"
550,【信用卡】,xìnyòngkǎ,n.,credit card,我想去银行办一张～。,wǒ xiǎng qù 银 行 办 yī zhāng 信 yòng 卡 。
551,【行李箱】,xínglixiāng,n.,trunk; baggage,请把～打开。,qǐng bǎ 行 李 箱 打 kāi 。
552,【熊猫】,xióngmāo,n.,panda,我特别喜欢到动物园去看大～。,wǒ 特 bié 喜 欢 dào 动 物 园 qù kàn dà 熊 māo 。
553,【需要】,xūyào,v.,need; claim; demand; want,我们～一些帮助。,wǒ 们 需 yào yī xiē 帮 助 。
554,【选择】,xuǎnzé,v.,choose; select; pick,今年夏天你～去哪儿旅游？,今 nián xià 天 nǐ 选 择 qù nǎ 儿 旅 游 ？
554,【选择】,xuǎnzé,n.,a choice; selection; option,我们需要自己做出～。,wǒ 们 需 yào 自 己 zuò chū 选 择 。
555,【要求】,yāoqiú,v.,ask; request; demand,老师～我们把这些题做完。,lǎo 师 yào 求 wǒ 们 bǎ 这 xiē tí zuò wán 。
555,【要求】,yāoqiú,n.,request; demand; need,这是爸爸对我的～。,这 shì 爸 爸 duì wǒ de yào 求 。
556,【爷爷】,yéye,n.,"grandfather, also used as a title of respect
for an old man",～，请您坐这儿吧。,爷 爷 ， qǐng nín zuò 这 儿 ba 。
557,【一定】,yídìng,adv.,surely; certainly; necessarily,明天的会议，请大家～要参加。,明 天 de huì 议 ， qǐng dà jiā yī 定 yào 参 加 。
557,【一定】,yídìng,adj,fixed; specified; regular; certain,他的汉语已经有～水平了。,tā de 汉 语 已 经 yǒu yī 定 shuǐ 平 le 。
558,【一共】,yígòng,adv.,altogether; in all; all told,我们班～有 20 名学生。,wǒ 们 bān yī 共 yǒu   2 0   名 学 生 。
559,【一会儿】,yíhuìr,adv.,a moment,我看～电视就睡觉。,wǒ kàn yī huì 儿 电 视 jiù 睡 觉 。
560,【一样】,yíyàng,adj.,the same,他跟爸爸长得～。,tā gēn 爸 爸 cháng de yī 样 。
561,【一般】,yìbān,adv.,usually; generally; habitually; ordinarily,我～7 点钟起床。,wǒ yī 般 7   diǎn 钟 起 床 。
562,【一边】,yìbiān,adv.,"while; as; at the same time;
simultaneously",他喜欢～看书，～听音乐。,tā 喜 欢 yī 边 kàn shū ， yī 边 tīng 音 乐 。
563,【一直】,yìzhí,adv.,all the time,我～不明白这句话的意思。,wǒ yī 直 bù 明 bái 这 句 话 de 意 思 。
564,【以前】,yǐqián,adv.,"before (a point of time); back; ago;
previously; formerly",我们看电影～，先去吃个饭吧。,wǒ 们 kàn 电 影 以 前 ， xiān qù chī gè 饭 ba 。
565,【音乐】,yīnyuè,n.,music,她最喜欢看～节目。,tā zuì 喜 欢 kàn 音 乐 jié 目 。
566,【银行】,yínháng,n.,bank,～下午 5 点关门。,银 行 xià 午   5   diǎn guān mén 。
567,【饮料】,yǐnliào,n.,beverage; drink,冰箱里还有～吗？,冰 箱 lǐ huán yǒu 饮 料 ma ？
568,【应该】,yīnggāi,aux.,should; have to; ought to; must,8 点了，～去上班了。,8   diǎn le ， 应 该 qù shàng bān le 。
569,【影响】,yǐngxiǎng,v.,influence; affect; concern; work upon,请不要～别人休息。,qǐng bù yào 影 响 bié rén 休 息 。
569,【影响】,yǐngxiǎng,n.,influence; effect,环境对人有很大的～。,环 境 duì rén yǒu hěn dà de 影 响 。
570,【用】,yòng,v.,use,我～了两个小时打扫房间。,wǒ yòng le liǎng gè xiǎo 时 打 扫 房 间 。
571,【游戏】,yóuxì,n.,game; play; recreation,这是孩子们最喜欢玩儿的～。,这 shì 孩 子 们 zuì 喜 欢 wán 儿 de 游 戏 。
572,【有名】,yǒumíng,adj.,famous,这本书很～。,这 běn shū hěn yǒu 名 。
573,【又】,yòu,adv.,again; once more,我们休息了一会儿，～开始工作了。,wǒ 们 休 息 le yī huì 儿 ， yòu kāi 始 工 作 le 。
574,【遇到】,yùdào,v.,meet,刚才我在街上～了张先生。,刚 cái wǒ zài 街 shàng 遇 dào le zhāng xiān 生 。
575,【元】,yuán,nm.,RMB Yuan,这块手表 600～。,这 kuài 手 表   6 0 0 yuán 。
576,【愿意】,yuànyì,aux.,be willing; wish; like; want,他很～帮助别人。,tā hěn 愿 意 帮 助 bié rén 。
577,【月亮】,yuèliang,n.,the Moon,今晚的～真圆！,今 晚 de yuè 亮 zhēn 圆 ！
578,【越】,yuè,adv.,the more…the more…,他～说～高兴。,tā yuè shuō yuè gāo 兴 。
579,【站】,zhàn,v.,stand,爸爸～在我的身边。,爸 爸 zhàn zài wǒ de 身 边 。
579,【站】,zhàn,nm.,distance between two bus stops,去火车站，坐地铁 3～就到了。,qù huǒ 车 zhàn ， zuò de 铁   3 zhàn jiù dào le 。
580,【张】,zhāng,nm.,"used for paper, bed, table,face, etc.",请给我一～纸。,qǐng gěi wǒ yī zhāng 纸 。
580,【张】,zhāng,v.,open up,小女孩儿～开嘴，笑了。,xiǎo nǚ 孩 儿 zhāng kāi zuǐ ， xiào le 。
581,【照顾】,zhàogù,v.,look after; take care,我生病了，妈妈一直～我。,wǒ 生 病 le ， 妈 妈 yī 直 照 顾 wǒ 。
581,【照顾】,zhàogù,n.,consideration; concern; care,这些年，他给了我们很多～。,这 xiē nián ， tā gěi le wǒ 们 hěn duō 照 顾 。
582,【照片】,zhàopiàn,n.,photo,这是我小时候的～。,这 shì wǒ xiǎo 时 候 de 照 片 。
583,【照相机】,zhàoxiàngjī,n.,camera,我新买了一个～。,wǒ xīn mǎi le yī gè 照 相 机 。
584,【只】,zhī,nm.,"one of a pair; for animals, furnitures, boats
or ships","我有一～鞋找不到了。
树上有一～小猫。","wǒ yǒu yī zhǐ 鞋 zhǎo bù dào le 。 
 shù shàng yǒu yī zhǐ xiǎo māo 。"
585,【只】,zhǐ,adv.,only; merely; just,房间里～有我一个人。,房 间 lǐ zhǐ yǒu wǒ yī gè rén 。
586,【中间】,zhōngjiān,n.,center; middle,我站在～，旁边的是我的同学。,wǒ zhàn zài 中 间 ， 旁 边 de shì wǒ de 同 学 。
587,【中文】,Zhōngwén,n.,Chinese language,我会用～写文章。,wǒ huì yòng 中 文 xiě 文 章 。
588,【终于】,zhōngyú,adv.,at last; finally,春天～来了。,chūn 天 终 于 lái le 。
589,【种】,zhǒng,nm.,kind; sort; type,超市里有很多～新鲜水果。,超 市 lǐ yǒu hěn duō zhǒng xīn 鲜 shuǐ 果 。
590,【重要】,zhòngyào,adj.,important,我忘了一件～的事情。,wǒ 忘 le yī jiàn 重 yào de 事 情 。
591,【周末】,zhōumò,n.,weekend,这个～你有什么安排？,这 gè 周 末 nǐ yǒu 什 么 安 排 ？
592,【主要】,zhǔyào,adj.,major; main,这本书～讲了些什么？,这 běn shū 主 yào jiǎng le xiē 什 么 ？
593,【注意】,zhùyì,v.,"pay attention to; to keep an eye on; take
notice of",请～安全。,qǐng 注 意 安 全 。
594,【着急】,zháojí,v.,worry; feel anxious,遇到事情，不要～。,遇 dào 事 情 ， bù yào zhe 急 。
595,【自己】,zìjǐ,pron.,oneself; self; one's own,我喜欢～一个人旅游。,wǒ 喜 欢 自 己 yī gè rén 旅 游 。
596,【总是】,zǒngshì,adv.,always,他～很早起床。,tā 总 shì hěn 早 起 床 。
597,【嘴】,zuǐ,n.,mouth,妹妹的～边有一粒米。,妹 妹 de zuǐ 边 yǒu yī 粒 mǐ 。
598,【最近】,zuìjìn,adv.,recently; of late; lately,我～很忙。,wǒ zuì jìn hěn máng 。
599,【作业】,zuòyè,n.,school assignment; study assignment,今天的～你写完了吗？,今 天 de 作 业 nǐ xiě wán le ma ？
600,【作用】,zuòyòng,n.,an effect; an influence,这种感冒药对我没什么～。,这 zhǒng 感 冒 yào duì wǒ 没 什 么 作 yòng 。
601,【爱情】,àiqíng,n.,love (between a man and a woman),这是一个感人的～故事。,这 shì yī gè 感 rén de ài 情 故 事 。
602,【安排】,ānpái,v.,plan in detail; arrange,下午的会议，我已经～好了。,xià 午 de huì 议 ， wǒ 已 经 安 排 hǎo le 。
602,【安排】,ānpái,n.,plan to do sth,他的～让大家都很满意。,tā de 安 排 ràng dà jiā dōu hěn mǎn 意 。
603,【安全】,ānquán,adj.,safe,晚上开车要注意～。,晚 shàng kāi 车 yào 注 意 安 全 。
603,【安全】,ānquán,n.,safety,请放心，我们会保证您的～。,qǐng fàng 心 ， wǒ 们 huì 保 证 nín de 安 全 。
604,【按时】,ànshí,adv.,on time; on schedule; punctually,我～完成了任务。,wǒ 按 时 wán 成 le 任 务 。
605,【按照】,ànzhào,prep.,according to,请～要求把报告改一下。,qǐng 按 照 yào 求 bǎ 报 告 改 yī xià 。
606,【百分之】,bǎifēnzhī,prep.,percent,任务完成～八十了。,任 务 wán 成 bǎi fēn 之 bā shí le 。
607,【棒】,bàng,adj,great; good; excellent,你的字写得真～！,nǐ de zì xiě de zhēn bàng ！
608,【包子】,bāozi,n.,steamed stuffed bun,这家饭馆儿的～味道非常好。,这 jiā 饭 馆 儿 de bāo 子 味 道 非 常 hǎo 。
609,【保护】,bǎohù,v.,protect,人们应该～环境。,rén 们 应 该 保 护 环 境 。
610,【保证】,bǎozhèng,v.,guarantee; ensure; promise,我～，以后不迟到了。,wǒ 保 证 ， 以 后 bù 迟 dào le 。
610,【保证】,bǎozhèng,n.,guarantee,努力是取得成功的～。,努 力 shì qǔ de 成 功 de 保 证 。
611,【报名】,bàomíng,sv.,"give your name, age, etc. in order to participate in an activity or organization;
enroll;sign up",你想～参加运动会吗？,nǐ xiǎng 报 名 参 加 运 动 huì ma ？
612,【抱】,bào,v.,hold sb or sth with one's arm(s); embrace,他把孩子～了起来。,tā bǎ 孩 子 bào le 起 lái 。
613,【抱歉】,bàoqiàn,v.,be sorry; feel apologetic; regret,非常～，让您等了这么久。,非 常 bào 歉 ， ràng nín děng le 这 么 jiǔ 。
614,【倍】,bèi,nm.,times (of the original number or quantity),我们学校的留学生比去年多了一～。,wǒ 们 学 校 de liú 学 生 bǐ qù nián duō le yī bèi 。
615,【本来】,běnlái,adv.,originally,我～要去看演出，但是突然有事儿不能去了。,wǒ běn lái yào qù kàn 演 chū ， 但 shì 突 然 yǒu 事 儿 bù néng qù le 。
616,【笨】,bèn,adj.,dull; foolish; stupid,你并不～，只是需要更努力。,nǐ 并 bù bèn ， zhǐ shì 需 yào gèng 努 力 。
617,【比如】,bǐrú,v.,take sth for example,我有很多爱好，～游泳和读书。,wǒ yǒu hěn duō ài hǎo ， bǐ 如 游 泳 hé dú shū 。
618,【毕业】,bìyè,sv.,graduate,我今年上大三，明年～。,wǒ 今 nián shàng dà sān ， 明 nián 毕 业 。
619,【遍】,biàn,vm.,number of times,这篇文章，我读了很多～。,这 piān 文 章 ， wǒ dú le hěn duō biàn 。
620,【标准】,biāozhǔn,n.,standard; criterion,你选男友的～太高了。,nǐ 选 nán 友 de 标 准 tài gāo le 。
620,【标准】,biāozhǔn,adj.,conforming to a standard,你的普通话说得很～。,nǐ de 普 通 话 shuō de hěn 标 准 。
621,【表格】,biǎogé,n.,form; table; list,请在～里填上您的姓名。,qǐng zài 表 格 lǐ 填 shàng nín de xìng 名 。
622,【表示】,biǎoshì,v.,express; convey,他～愿意继续在公司工作。,tā 表 示 愿 意 继 续 zài 公 司 工 作 。
623,【表演】,biǎoyǎn,v.,act; perform; play,你们要～什么节目？,nǐ 们 yào 表 演 什 么 jié 目 ？
623,【表演】,biǎoyǎn,n.,exhibition; show; program; performance,今天的～太精彩了！,今 天 de 表 演 tài 精 彩 le ！
624,【表扬】,biǎoyáng,v.,praise,小明喜欢帮助别人，老师～了他。,xiǎo 明 喜 欢 帮 助 bié rén ， lǎo 师 表 扬 le tā 。
624,【表扬】,biǎoyáng,n.,praise; recognition,他经常得到校长的～。,tā 经 常 de dào 校 cháng de 表 扬 。
625,【饼干】,bǐnggān,n.,cracker; cookie; biscuit,我买了～，吃点儿吧。,wǒ mǎi le 饼 gàn ， chī diǎn 儿 ba 。
626,【并且】,bìngqiě,conj.,further more; besides,她很聪明，～很努力。,tā hěn 聪 明 ， 并 且 hěn 努 力 。
627,【博士】,bóshì,n.,doctor (an academic degree),我来介绍一下，这位是李～。,wǒ lái 介 绍 yī xià ， 这 wèi shì 李 博 士 。
628,【不过】,búguò,conj.,but; however,他很优秀，～不符合公司的招聘条件。,tā hěn 优 秀 ， bù guò bù 符 合 公 司 de 招 聘 tiáo jiàn 。
629,【不得不】,bùdébù,conj.,must; have to,任务还没完成，所以周末我们～加班。,任 务 huán 没 wán 成 ， 所 以 周 末 wǒ 们 bù de bù 加 bān 。
630,【不管】,bùguǎn,conj.,no matter; whether or not,～天怎么样，我都要爬 ft。,bù 管 天 怎 么 样 ， wǒ dōu yào 爬   f t 。
631,【不好意思】,bùhǎoyìsi,conj.,feel shy or sorry,大家都看着他，他有点儿～了。,dà jiā dōu kàn zhe tā ， tā yǒu diǎn 儿 bù hǎo 意 思 le 。
632,【不仅】,bùjǐn,conj.,not only,我～去过那个城市，而且去过很多次。,wǒ bù 仅 qù guò 那 gè 城 市 ， ér 且 qù guò hěn duō cì 。
633,【部分】,bùfen,n.,part; section; portion,这本小说由四～组成。,这 běn xiǎo shuō 由 sì 部 fēn 组 成 。
634,【擦】,cā,v.,rub or wipe in order to clean,我已经把窗户～干净了。,wǒ 已 经 bǎ 窗 户 cā gàn 净 le 。
635,【猜】,cāi,v.,guess,你～我给你准备了什么生日礼物？,nǐ cāi wǒ gěi nǐ 准 备 le 什 么 生 rì 礼 物 ？
636,【材料】,cáiliào,n.,reference material,报名需要什么～？,报 名 需 yào 什 么 材 料 ？
637,【参观】,cānguān,v.,visit for learning,学校组织大家去长城～。,学 校 组 织 dà jiā qù cháng 城 参 观 。
638,【餐厅】,cāntīng,n.,restaurant,学校附近新开了一家～。,学 校 附 jìn xīn kāi le yī jiā 餐 厅 。
639,【厕所】,cèsuǒ,n.,toilet; bathroom; washroom,男～在一层。,nán 厕 所 zài yī céng 。
640,【差不多】,chàbuduō,adv.,about; nearly,我每天～7 点起床。,wǒ měi 天 chà bù duō 7   diǎn 起 床 。
641,【长城】,Chángchéng,n.,the Great Wall,我想周末去参观～。,wǒ xiǎng 周 末 qù 参 观 cháng 城 。
642,【长江】,Chángjiāng,n.,the Yangtze River,～是中国的第一大河。,cháng 江 shì 中 国 de 第 yī dà 河 。
643,【尝】,cháng,v.,taste,快来～～我做的菜，味道怎么样？,kuài lái cháng cháng wǒ zuò de cài ， 味 道 怎 么 样 ？
644,【场】,chǎng,vm.,used for activities,今年下午有～足球比赛。,今 nián xià 午 yǒu chǎng 足 球 bǐ 赛 。
645,【超过】,chāoguò,v.,leave behind; outstrip,每天有～三百个航班在这里起飞。,měi 天 yǒu 超 guò sān bǎi gè 航 bān zài 这 lǐ 起 飞 。
646,【吵】,chǎo,adj.,noisy,外面太～了，我睡不着。,wài 面 tài chǎo le ， wǒ 睡 bù zhe 。
646,【吵】,chǎo,v.,quarrel,他和朋友～了，所以很不高兴。,tā hé 朋 友 chǎo le ， 所 以 hěn bù gāo 兴 。
647,【成功】,chénggōng,v.,succeed,太好了，我们终于～了。,tài hǎo le ， wǒ 们 终 于 成 功 le 。
647,【成功】,chénggōng,n.,success,经过努力，我们取得了～。,经 guò 努 力 ， wǒ 们 qǔ de le 成 功 。
648,【成为】,chéngwéi,v.,become,几年不见，她现在已经～了一名医生。,jǐ nián bù 见 ， tā 现 zài 已 经 成 wèi le yī 名 医 生 。
649,【诚实】,chéngshí,adj.,honest,～的人值得我们尊重。,诚 实 de rén 值 de wǒ 们 尊 重 。
650,【乘坐】,chéngzuò,v.,"take a ride (in a car, ship, etc.)",欢迎您～本次航班。,欢 迎 nín 乘 zuò běn cì 航 bān 。
651,【吃惊】,chījīng,sv.,"feel afraid suddenly; be startled; be
shocked; be astonished; be taken aback",这个消息非常令人～。,这 gè 消 息 非 常 令 rén chī 惊 。
652,【重新】,chóngxīn,adv.,once again,他把事情～说了一遍。,tā bǎ 事 情 重 xīn shuō le yī biàn 。
653,【抽烟】,chōuyān,adv.,smoke a cigarette,对不起，医院里不能～。,duì bù 起 ， 医 院 lǐ bù néng 抽 烟 。
654,【出差】,chūchāi,sv.,be on a business trip,爸爸已经～一个多月了。,爸 爸 已 经 chū chà yī gè duō yuè le 。
655,【出发】,chūfā,v.,"set out; start off; leave; head; move on;
take the road",我从北京～去上海。,wǒ cóng 北 京 chū fā qù shàng 海 。
656,【出生】,chūshēng,v.,be born,女儿是 1990 年～的。,nǚ 儿 shì   1 9 9 0   nián chū 生 de 。
657,【厨房】,chúfáng,n.,kitchen,我正在～里做饭呢。,wǒ 正 zài 厨 房 lǐ zuò 饭 ne 。
658,【传真】,chuánzhēn,n.,fax,请帮我发一份～。,qǐng 帮 wǒ fā yī fèn 传 zhēn 。
659,【窗户】,chuānghu,n.,window,她坐在～旁边安静地看书。,tā zuò zài 窗 户 旁 边 安 静 de kàn shū 。
660,【词语】,cíyǔ,n.,word and phrase,请把你们不认识的～都找出来。,qǐng bǎ nǐ 们 bù 认 识 de 词 语 dōu zhǎo chū lái 。
661,【从来】,cónglái,adv.,"right from the beginning; always; at all
times; all along",我～没见过他。,wǒ cóng lái 没 见 guò tā 。
662,【粗心】,cūxīn,adj.,careless; thoughtless,你真是太～了。,nǐ zhēn shì tài 粗 心 le 。
663,【存】,cún,v.,keep; save; deposit,我把钱～进了银行。,wǒ bǎ qián cún jìn le 银 行 。
664,【错误】,cuòwù,adj.,wrong; incorrect; mistaken,我觉得这种说法是～的。,wǒ 觉 de 这 zhǒng shuō 法 shì cuò 误 de 。
664,【错误】,cuòwù,n.,error; mistake,谢谢你指出了我的～。,谢 谢 nǐ 指 chū le wǒ de cuò 误 。
665,【答案】,dá’àn,n.,an answer or key to a question or problem,我不知道这道题的～。,wǒ bù 知 道 这 道 tí de 答 案 。
666,【打扮】,dǎban,v.,dress up; make up,她简单～了一下就出门了。,tā 简 单 打 扮 le yī xià jiù chū mén le 。
667,【打扰】,dǎrǎo,v.,bother; interrupt; intervene,对不起，～一下，王教授在吗？,duì bù 起 ， 打 扰 yī xià ， 王 jiāo 授 zài ma ？
668,【打印】,dǎyìn,v.,print,这些材料已经～完了。,这 xiē 材 料 已 经 打 印 wán le 。
669,【打招呼】,dǎzhāohu,v.,greet sb by word or gesture,他笑着和我～。,tā xiào zhe hé wǒ 打 招 呼 。
670,【打折】,dǎzhé,sv.,give a discount,春节前，商场都在～。,chūn jié 前 ， 商 chǎng dōu zài 打 折 。
671,【打针】,dǎzhēn,sv.,give or have an injection,儿子非常害怕～。,儿 子 非 常 害 怕 打 针 。
672,【大概】,dàgài,adv.,almost; probably,他～不会来了。,tā dà 概 bù huì lái le 。
673,【大使馆】,dàshǐguǎn,n.,embassy,我明天要去～办签证。,wǒ 明 天 yào qù dà shǐ 馆 办 签 证 。
674,【大约】,dàyuē,adv.,about; approximately; more or less,他～有三十多岁。,tā dà 约 yǒu sān shí duō suì 。
675,【大夫】,dàifu,n.,doctor; physician; surgeon,李～，您明天上午在医院吗？,李 dà 夫 ， nín 明 天 shàng 午 zài 医 院 ma ？
676,【戴】,dài,v.,wear; put on,外边风大，～上帽子吧。,wài 边 风 dà ， dài shàng 帽 子 ba 。
678,【当时】,dāngshí,n.,at that time,我记不清楚～的情况了。,wǒ 记 bù 清 楚 当 时 de 情 况 le 。
679,【刀】,dāo,n.,knife,水果～在厨房里。,shuǐ 果 dāo zài 厨 房 lǐ 。
680,【导游】,dǎoyóu,n.,tour guide,我的姐姐是一名～。,wǒ de 姐 姐 shì yī 名 导 游 。
681,【倒】,dǎo,v.,fall; lie down,大风把树刮～了。,dà 风 bǎ shù 刮 dǎo le 。
682,【到处】,dàochù,adv.,everywhere,公园里～都是鲜花。,公 园 lǐ dào 处 dōu shì 鲜 huā 。
683,【到底】,dàodǐ,adv.,on earth,这句话～是什么意思？,这 句 话 dào dǐ shì 什 么 意 思 ？
684,【道歉】,dàoqiàn,sv.,make an apology,我已经向他～了。,wǒ 已 经 xiàng tā 道 歉 le 。
685,【得意】,déyì,adj.,"be pleased with oneself; pride oneself on
sth (or doing sth)",工作取得了成功，大家都很～。,工 作 qǔ de le 成 功 ， dà jiā dōu hěn de 意 。
686,【得】,de,sa.,marker of complement,你走～太快了。,nǐ zǒu de tài kuài le 。
686,【得】,de,v.,get; obtain; win; earn,这次考试，我～了 100 分。,这 cì 考 shì ， wǒ de le   1 0 0   fēn 。
687,【登机牌】,dēngjīpái,n.,boarding pass,请您拿好～，准备登机。,qǐng nín ná hǎo 登 机 牌 ， 准 备 登 机 。
688,【等】,děng,sa.,and so on; et cetera,"这个学期我选了很多课，有艺术、历史、经
济～。","这 gè 学 期 wǒ 选 le hěn duō kè ， yǒu 艺 术 、 历 史 、 经 
 济 děng 。"
689,【低】,dī,adj.,low; down,这颗树比房子～。,这 颗 shù bǐ 房 子 dī 。
689,【低】,dī,v.,lower,你怎么了？不高兴了？为什么～着头？,nǐ 怎 么 le ？ bù gāo 兴 le ？ wèi 什 么 dī zhe 头 ？
690,【底】,dǐ,n.,at the end of,年～公司会给大家发奖金。,nián dǐ 公 司 huì gěi dà jiā fā 奖 金 。
691,【地点】,dìdiǎn,n.,place; site; spot,开会的～在三楼会议室。,kāi huì de de diǎn zài sān lóu huì 议 室 。
692,【地球】,dìqiú,n.,the Earth,～上 70%的面积是海洋。,de 球 shàng   7 0 % de 面 积 shì 海 洋 。
693,【地址】,dìzhǐ,n.,address,请把您的～写下来。,qǐng bǎ nín de de 址 xiě xià lái 。
694,【调查】,diàochá,v.,investigate,警察正在进行～。,警 察 正 zài jìn 行 调 查 。
694,【调查】,diàochá,n.,investigation; inquiry; survey,我刚做了一个顾客满意度～。,wǒ 刚 zuò le yī gè 顾 客 mǎn 意 度 调 查 。
695,【掉】,diào,v.,fall,我把钥匙～在了地上。,wǒ bǎ 钥 匙 diào zài le de shàng 。
696,【丢】,diū,v.,lose,你的书包～了？,nǐ de shū bāo diū le ？
697,【动作】,dòngzuò,n.,movement; action; motion,我教你跳舞吧，～很简单。,wǒ jiāo nǐ 跳 舞 ba ， 动 作 hěn 简 单 。
698,【堵车】,dǔchē,v,traffic jam,我在路上，又～了。,wǒ zài lù shàng ， yòu 堵 车 le 。
699,【肚子】,dùzi,n.,belly; abdomen; stomach,我～疼。,wǒ 肚 子 téng 。
700,【短信】,duǎnxìn,n.,short message,有事儿请给我发～或者打电话。,yǒu 事 儿 qǐng gěi wǒ fā duǎn 信 或 者 打 电 话 。
701,【对话】,duìhuà,n.,dialogue,这个～比较简单，我能听懂。,这 gè duì 话 bǐ 较 简 单 ， wǒ néng tīng dǒng 。
702,【对面】,duìmiàn,n.,the opposite side,我就住在学校～。,wǒ jiù zhù zài 学 校 duì 面 。
703,【儿童】,értóng,n.,a child,身高一米二以下的孩子，可以买～票。,身 gāo yī mǐ èr 以 xià de 孩 子 ， 可 以 mǎi 儿 童 piào 。
704,【而】,ér,conj.,and; but; however,我们都已经等了一个小时了，～他还没来。,wǒ 们 dōu 已 经 děng le yī gè xiǎo 时 le ， ér tā huán 没 lái 。
705,【发生】,fāshēng,v.,take place; happen,情况～了很大的变化。,情 况 fā 生 le hěn dà de 变 化 。
706,【发展】,fāzhǎn,v.,develop; expand; go along,这些年经济～很快。,这 xiē nián 经 济 fā 展 hěn kuài 。
707,【法律】,fǎlǜ,n.,law,我在大学学习～专业。,wǒ zài dà 学 学 习 法 律 专 业 。
708,【翻译】,fānyì,v.,translate,请把这篇文章～成汉语。,qǐng bǎ 这 piān 文 章 翻 译 成 汉 语 。
709,【烦恼】,fánnǎo,n.,vexation; worry; trouble,生活中总会遇到一些～。,生 活 中 总 huì 遇 dào yī xiē 烦 恼 。
709,【烦恼】,fánnǎo,v.,fret one's heart; trouble; bother about,别再为这件事儿～了。,bié zài wèi 这 jiàn 事 儿 烦 恼 le 。
710,【反对】,fǎnduì,v.,be against; object to,这个计划大家都～。,这 gè 计 划 dà jiā dōu 反 duì 。
711,【方法】,fāngfǎ,n.,method; way; manner; measure,我们一定能找到解决问题的～。,wǒ 们 yī 定 néng zhǎo dào 解 决 wèn tí de 方 法 。
712,【方面】,fāngmiàn,n.,aspect,爸爸喜欢看历史～的书。,爸 爸 喜 欢 kàn 历 史 方 面 de shū 。
713,【方向】,fāngxiàng,n.,direction,是这个～吗？我觉得我们迷路了。,shì 这 gè 方 xiàng ma ？ wǒ 觉 de wǒ 们 迷 lù le 。
714,【房东】,fángdōng,n.,landlord,我的～很友好，经常帮助我。,wǒ de 房 dōng hěn 友 hǎo ， 经 常 帮 助 wǒ 。
715,【放弃】,fàngqì,v.,give up,我～了留学的机会。,wǒ fàng 弃 le liú 学 de 机 huì 。
716,【放暑假】,fàng shǔjià,v.,have a summer vacation,明天就要～了。,明 天 jiù yào fàng 暑 jiǎ le 。
717,【放松】,fàngsōng,v.,relax,考试结束了，我们需要～一下。,考 shì 结 束 le ， wǒ 们 需 yào fàng 松 yī xià 。
718,【费用】,fèiyòng,n.,expense; money spent,咱们这个月的生活～是多少？,咱 们 这 gè yuè de 生 活 费 yòng shì duō shǎo ？
719,【份】,fèn,nm.,part; portion,我一个人吃了两～饭，太饿了。,wǒ yī gè rén chī le liǎng fèn 饭 ， tài è le 。
720,【丰富】,fēngfù,adj.,abundant; plentiful; copious; rich; profuse,他是一位经验～的老师。,tā shì yī wèi 经 验 丰 fù de lǎo 师 。
720,【丰富】,fēngfù,v.,enrich,读书能～我们的生活。,dú shū néng 丰 fù wǒ 们 de 生 活 。
721,【否则】,fǒuzé,conj.,otherwise,我们现在出发吧，～会迟到的。,wǒ 们 现 zài chū fā ba ， 否 则 huì 迟 dào de 。
722,【符合】,fúhé,v.,correspond with; accord with; comform to,这个做法不～我们的要求。,这 gè zuò 法 bù 符 合 wǒ 们 de yào 求 。
723,【父亲】,fùqīn,n.,father,我～今年八十三岁了。,wǒ 父 亲 今 nián bā shí sān suì le 。
724,【付款】,fùkuǎn,v.,pay,购物可以在网上～。,购 物 可 以 zài 网 shàng 付 款 。
725,【负责】,fùzé,v.,be in charge of; be responsible for,我们会对这件事～。,wǒ 们 huì duì 这 jiàn 事 负 责 。
725,【负责】,fùzé,adj.,responsible,小李工作非常～。,xiǎo 李 工 作 非 常 负 责 。
726,【复印】,fùyìn,v.,copy; reproduce on a copying machine,这份材料，请再～两份。,这 fèn 材 料 ， qǐng zài 复 印 liǎng fèn 。
727,【复杂】,fùzá,adj.,complicated; complex,这个问题太～，我听不懂。,这 gè wèn tí tài 复 杂 ， wǒ tīng bù dǒng 。
728,【富】,fù,adj.,rich,人们的生活越来越～。,rén 们 de 生 活 yuè lái yuè fù 。
729,【改变】,gǎibiàn,v.,change; vary,我已经～了计划。,wǒ 已 经 改 变 le 计 划 。
729,【改变】,gǎibiàn,n.,change; variation,城市已经发生了很大的～。,城 市 已 经 fā 生 le hěn dà de 改 变 。
730,【干杯】,gānbēi,v.,cheers,祝大家节日快乐，～！,祝 dà jiā jié rì kuài 乐 ， gàn 杯 ！
731,【赶】,gǎn,v.,catch; get,快点儿，我们要～不上火车了。,kuài diǎn 儿 ， wǒ 们 yào gǎn bù shàng huǒ 车 le 。
732,【敢】,gǎn,aux.,dare to do,天太黑了，我不～一个人出去。,天 tài hēi le ， wǒ bù gǎn yī gè rén chū qù 。
733,【感动】,gǎndòng,v.,move or touch sb; feel moved; be touched,这个电影我看了很～。,这 gè 电 影 wǒ kàn le hěn 感 动 。
734,【感觉】,gǎnjué,n.,feeling; impression; sensation,看了这本书，你有什么～？,kàn le 这 běn shū ， nǐ yǒu 什 么 感 觉 ？
